0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x56
0x800000c4:addi   a1,a1,0x001         a1=0x80000146+0x00000001=0x80000147
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000147]=0x00000020
0x800000bc:beq    t0,zero,0x008       (0x00000020==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x20
0x800000c4:addi   a1,a1,0x001         a1=0x80000147+0x00000001=0x80000148
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000148]=0x00000073
0x800000bc:beq    t0,zero,0x008       (0x00000073==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x73
0x800000c4:addi   a1,a1,0x001         a1=0x80000148+0x00000001=0x80000149
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000149]=0x00000065
0x800000bc:beq    t0,zero,0x008       (0x00000065==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x65
0x800000c4:addi   a1,a1,0x001         a1=0x80000149+0x00000001=0x8000014a
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x8000014a]=0x00000072
0x800000bc:beq    t0,zero,0x008       (0x00000072==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x72
0x800000c4:addi   a1,a1,0x001         a1=0x8000014a+0x00000001=0x8000014b
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x8000014b]=0x00000069
0x800000bc:beq    t0,zero,0x008       (0x00000069==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x69
0x800000c4:addi   a1,a1,0x001         a1=0x8000014b+0x00000001=0x8000014c
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x8000014c]=0x00000061
0x800000bc:beq    t0,zero,0x008       (0x00000061==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x61
0x800000c4:addi   a1,a1,0x001         a1=0x8000014c+0x00000001=0x8000014d
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x8000014d]=0x0000006c
0x800000bc:beq    t0,zero,0x008       (0x0000006c==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x6c
0x800000c4:addi   a1,a1,0x001         a1=0x8000014d+0x00000001=0x8000014e
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x8000014e]=0x0000006c
0x800000bc:beq    t0,zero,0x008       (0x0000006c==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x6c
0x800000c4:addi   a1,a1,0x001         a1=0x8000014e+0x00000001=0x8000014f
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x8000014f]=0x00000079
0x800000bc:beq    t0,zero,0x008       (0x00000079==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x79
0x800000c4:addi   a1,a1,0x001         a1=0x8000014f+0x00000001=0x80000150
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
